Compressor,Size_bytes,Percentage,Compression_time_s,Comp_bytes_per_s,Tokens_per_s,Decompression_time_s,Decomp_bytes_per_s
Uncompressed,104855821,100.00%,,,,,
zip,14987073,14.29%,1.9506,53755776.76,,,
gzip,14986917,14.29%,1.9591,53522431.24,,0.4502,232924920.9
zstd -3,15460518,14.74%,0.3105,337729830.9,,0.1094,958393491.8
zstd -1,16524676,15.76%,0.2288,458319722.7,,0.1004,1044227247
zstd -19,10936213,10.43%,41.3844,2533703.86,,0.1019,1029429970
zstd --ultra -22,10284167,9.81%,74.1265,1414553.17,,0.1704,615210239.4
xz -9e (LZMA2),9971108,9.51%,46.7056,2245035.07,,0.6351,165089221
