compressor,size,time,comment
qwen2.5 0.5B,10584023,2296.1170935205123,"100_000_000/1997049*(120.43074306299968-74.57615960801922)"
qwen2.5 1.5B,9812391,2600.5430707016844,"100_000_000/1997049*(123.42349814300178-71.4893787549845)"
qwen2.5 7B,9053421,4448.276102589738,"100_000_000/1997049*(161.4868670020005-72.65261357799318)"
qwen3 0.6B,11785941,3040.884722459017,"100_000_000/1997049*(134.46622194800148-73.7382640069809)"
qwen3 1.7B,11291930,3280.5297901025483,"100_000_000/1997049*(138.64807415099858-73.13428678305354)"
qwen3 8B,10027615,5292.808022633998,"100_000_000/1997049*(176.85747981399982-71.15751012606779)"
distilgpt2,25908724,1534.9190334884818,"100_000_000/1068023*(90.50544383399756-74.11215552496287)"
