compressor,size,time,comment
qwen2.5 0.5B,14063799,1830.391504767464,"100_000_000/2590782*(143.92580867500146-96.50435503995686)"
qwen2.5 1.5B,12283367,2088.953763150224,"100_000_000/2590782*(138.7941865440007-84.67394845998206)"
qwen2.5 7B,10708736,3547.1189837680845,"100_000_000/2590782*(186.01388316999873-94.11576301995228)"
qwen3 0.6B,15378702,2514.0992783235906,"100_000_000/2590782*(178.546702454998-113.41187089006053)"
qwen3 1.7B,13299663,2743.158809231714,"100_000_000/2590782*(167.339786646-96.27052198501042)"
qwen3 8B,11898445,4308.063802507509,"100_000_000/2590782*(193.42318395999973-81.81064241611966)"
distilgpt2,17889602,926.9577864688817,"100_000_000/2522800*(173.16246358400167-149.77717254696472)"
